ю╖д║,цЬа╓юо╫ц,цЬа╓аж╠Б,фР╠у╟╙,цж╪р╟╙,цж╢К╟╙
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-03 18:00,H,100007,99990,100030
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-03 19:00,H,100023,100010,100050
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-03 20:00,H,100037,100020,100050
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-03 21:00,H,100050,100040,100070
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-03 22:00,H,100082,100070,100090
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-03 23:00,H,100103,100080,100120
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-04 00:00,H,100092,100070,100120
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-04 01:00,H,100088,100080,100100
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-04 02:00,H,100093,100080,100110
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-04 03:00,H,100120,100100,100140
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-04 04:00,H,100080,100070,100110
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-04 05:00,H,100062,100040,100090
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-04 06:00,H,100085,100070,100110
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-04 07:00,H,100093,100090,100100
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-04 08:00,H,100107,100090,100130
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-04 09:00,H,100147,100130,100180
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-04 10:00,H,100147,100120,100170
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-04 11:00,H,100117,100110,100120
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-04 12:00,H,100113,100110,100120
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-04 13:00,H,100070,100040,100100
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-04 14:00,H,99993,99980,100030
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-04 15:00,H,99962,99940,99980
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-04 16:00,H,99950,99930,99970
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-04 17:00,H,99975,99970,99980
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-04 18:00,H,99972,99960,99990
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-04 19:00,H,99997,99980,100030
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-04 20:00,H,100030,100010,100050
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-04 21:00,H,100055,100050,100060
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-04 22:00,H,100038,100030,100050
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-04 23:00,H,100030,100020,100050
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-05 00:00,H,100043,100030,100060
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-05 01:00,H,100053,100050,100070
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-05 02:00,H,100057,100050,100070
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-05 03:00,H,100058,100050,100070
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-05 04:00,H,100050,100040,100060
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-05 05:00,H,100068,100050,100080
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-05 06:00,H,100095,100080,100110
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-05 07:00,H,100110,100100,100120
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-05 08:00,H,100125,100110,100140
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-05 09:00,H,100155,100140,100160
